title =		Palomar Observatory
version =	ah03
UTC_offset =	-7.0
lp_rating_mags_per_square_arcsec = 20.25 to 20.91
lp_rating_RGB_color = 191,191,0
blocks = 
#	Local Time	cloud2	trans2	seeing2	wind2	hum2	temp2
2020-07-21 22:45:00,	6.3,	-28.3,	-18.1,
2020-07-21 23:00:00,	6.3,	-30.0,	-20.5,
2020-07-21 23:15:00,	6.3,	-31.5,	-22.8,
2020-07-21 23:30:00,	6.3,	-32.9,	-24.9,
2020-07-21 23:45:00,	6.3,	-34.0,	-27.0,
2020-07-22 00:00:00,	6.3,	-35.0,	-29.0,
2020-07-22 00:15:00,	6.3,	-35.7,	-30.8,
2020-07-22 00:30:00,	6.3,	-36.2,	-32.5,
2020-07-22 00:45:00,	6.3,	-36.4,	-34.0,
2020-07-22 01:00:00,	6.3,	-36.5,	-35.4,
2020-07-22 01:15:00,	6.3,	-36.3,	-36.5,
2020-07-22 01:30:00,	6.3,	-35.8,	-37.5,
2020-07-22 01:45:00,	6.3,	-35.1,	-38.3,
2020-07-22 02:00:00,	6.3,	-34.2,	-38.8,
2020-07-22 02:15:00,	6.3,	-33.1,	-39.2,
2020-07-22 02:30:00,	6.3,	-31.8,	-39.3,
2020-07-22 02:45:00,	6.3,	-30.3,	-39.1,
2020-07-22 03:00:00,	6.3,	-28.6,	-38.8,
2020-07-22 03:15:00,	6.3,	-26.8,	-38.2,
2020-07-22 03:30:00,	6.3,	-24.8,	-37.4,
2020-07-22 03:45:00,	6.3,	-22.7,	-36.4,
2020-07-22 04:00:00,	6.3,	-20.5,	-35.3,
2020-07-22 04:15:00,	6.3,	-18.2,	-33.9,
2020-07-22 04:30:00,	6.0,	-15.7,	-32.4,
2020-07-22 04:45:00,	5.0,	-13.2,	-30.7,
2020-07-22 05:00:00,	4.7,	-10.7,	-28.8,
2020-07-22 05:15:00,	4.7,	-8.0,	-26.9,
2020-07-22 05:30:00,	4.7,	-5.3,	-24.8,
2020-07-22 05:45:00,	4.7,	-2.5,	-22.6,
2020-07-22 06:00:00,	3.8,	0.3,	-20.3,
2020-07-22 06:15:00,	1.2,	3.2,	-17.9,
2020-07-22 06:30:00,	-0.6,	6.2,	-15.5,
2020-07-22 06:45:00,	-1.5,	9.1,	-12.9,
2020-07-22 07:00:00,	-2.0,	12.1,	-10.3,
2020-07-22 07:15:00,	-2.4,	15.1,	-7.7,
2020-07-22 07:30:00,	-2.7,	18.2,	-5.0,
2020-07-22 07:45:00,	-2.9,	21.3,	-2.2,
2020-07-22 08:00:00,	-3.0,	24.3,	0.6,
2020-07-22 08:15:00,	-3.2,	27.4,	3.4,
2020-07-22 08:30:00,	-3.3,	30.6,	6.3,
2020-07-22 08:45:00,	-3.4,	33.7,	9.2,
2020-07-22 09:00:00,	-3.5,	36.8,	12.1,
2020-07-22 09:15:00,	-3.7,	39.9,	15.1,
2020-07-22 09:30:00,	-3.8,	43.1,	18.0,
2020-07-22 09:45:00,	-3.9,	46.2,	21.0,
2020-07-22 10:00:00,	-4.0,	49.3,	24.0,
2020-07-22 10:15:00,	-4.1,	52.4,	27.1,
2020-07-22 10:30:00,	-4.2,	55.5,	30.1,
2020-07-22 10:45:00,	-4.3,	58.5,	33.1,
2020-07-22 11:00:00,	-4.4,	61.4,	36.1,
2020-07-22 11:15:00,	-4.5,	64.3,	39.1,
2020-07-22 11:30:00,	-4.6,	67.1,	42.1,
2020-07-22 11:45:00,	-4.7,	69.7,	45.1,
2020-07-22 12:00:00,	-4.9,	72.1,	48.1,
2020-07-22 12:15:00,	-5.0,	74.1,	51.0,
2020-07-22 12:30:00,	-5.1,	75.7,	53.9,
2020-07-22 12:45:00,	-5.1,	76.6,	56.7,
2020-07-22 13:00:00,	-5.1,	76.6,	59.5,
2020-07-22 13:15:00,	-5.1,	75.9,	62.1,
2020-07-22 13:30:00,	-5.0,	74.5,	64.5,
2020-07-22 13:45:00,	-4.9,	72.5,	66.8,
2020-07-22 14:00:00,	-4.8,	70.2,	68.8,
2020-07-22 14:15:00,	-4.7,	67.6,	70.4,
2020-07-22 14:30:00,	-4.5,	64.8,	71.6,
2020-07-22 14:45:00,	-4.4,	62.0,	72.2,
2020-07-22 15:00:00,	-4.3,	59.0,	72.3,
2020-07-22 15:15:00,	-4.2,	56.0,	71.7,
2020-07-22 15:30:00,	-4.1,	52.9,	70.5,
2020-07-22 15:45:00,	-4.0,	49.8,	68.9,
2020-07-22 16:00:00,	-3.9,	46.8,	66.9,
2020-07-22 16:15:00,	-3.8,	43.6,	64.7,
2020-07-22 16:30:00,	-3.7,	40.5,	62.2,
2020-07-22 16:45:00,	-3.6,	37.3,	59.6,
2020-07-22 17:00:00,	-3.5,	34.2,	56.8,
2020-07-22 17:15:00,	-3.3,	31.1,	54.0,
2020-07-22 17:30:00,	-3.2,	28.0,	51.1,
2020-07-22 17:45:00,	-3.1,	24.9,	48.1,
2020-07-22 18:00:00,	-2.9,	21.8,	45.2,
2020-07-22 18:15:00,	-2.7,	18.7,	42.1,
2020-07-22 18:30:00,	-2.4,	15.7,	39.1,
2020-07-22 18:45:00,	-2.1,	12.6,	36.0,
2020-07-22 19:00:00,	-1.6,	9.6,	33.0,
2020-07-22 19:15:00,	-0.8,	6.7,	29.9,
2020-07-22 19:30:00,	0.8,	3.7,	26.8,
2020-07-22 19:45:00,	3.5,	0.8,	23.8,
2020-07-22 20:00:00,	4.7,	-2.0,	20.7,
2020-07-22 20:15:00,	4.7,	-4.8,	17.7,
2020-07-22 20:30:00,	4.7,	-7.6,	14.6,
2020-07-22 20:45:00,	4.7,	-10.3,	11.6,
2020-07-22 21:00:00,	4.7,	-12.8,	8.6,
2020-07-22 21:15:00,	6.0,	-15.4,	5.6,
2020-07-22 21:30:00,	6.3,	-17.8,	2.7,
2020-07-22 21:45:00,	6.3,	-20.2,	-0.3,
2020-07-22 22:00:00,	6.3,	-22.4,	-3.2,
2020-07-22 22:15:00,	6.3,	-24.6,	-6.0,
2020-07-22 22:30:00,	6.3,	-26.6,	-8.8,
2020-07-22 22:45:00,	6.3,	-28.4,	-11.6,
2020-07-22 23:00:00,	6.3,	-30.1,	-14.3,
2020-07-22 23:15:00,	6.3,	-31.7,	-17.0,
2020-07-22 23:30:00,	6.3,	-33.0,	-19.6,
2020-07-22 23:45:00,	6.3,	-34.2,	-22.1,
2020-07-23 00:00:00,	6.3,	-35.2,	-24.6,
2020-07-23 00:15:00,	6.3,	-35.9,	-27.0,
2020-07-23 00:30:00,	6.3,	-36.4,	-29.2,
2020-07-23 00:45:00,	6.3,	-36.6,	-31.4,
2020-07-23 01:00:00,	6.3,	-36.7,	-33.4,
2020-07-23 01:15:00,	6.3,	-36.5,	-35.3,
2020-07-23 01:30:00,	6.3,	-36.0,	-37.0,
2020-07-23 01:45:00,	6.3,	-35.3,	-38.6,
2020-07-23 02:00:00,	6.3,	-34.4,	-40.0,
2020-07-23 02:15:00,	6.3,	-33.3,	-41.2,
2020-07-23 02:30:00,	6.3,	-32.0,	-42.2,
2020-07-23 02:45:00,	6.3,	-30.5,	-43.0,
2020-07-23 03:00:00,	6.3,	-28.8,	-43.5,
2020-07-23 03:15:00,	6.3,	-27.0,	-43.7,
2020-07-23 03:30:00,	6.3,	-25.0,	-43.8,
2020-07-23 03:45:00,	6.3,	-22.9,	-43.5,
2020-07-23 04:00:00,	6.3,	-20.7,	-43.1,
2020-07-23 04:15:00,	6.3,	-18.3,	-42.4,
2020-07-23 04:30:00,	6.1,	-15.9,	-41.4,
2020-07-23 04:45:00,	5.1,	-13.4,	-40.3,
2020-07-23 05:00:00,	4.7,	-10.8,	-38.9,
2020-07-23 05:15:00,	4.7,	-8.1,	-37.4,
2020-07-23 05:30:00,	4.7,	-5.4,	-35.6,
2020-07-23 05:45:00,	4.7,	-2.6,	-33.8,

#Gen'd by d800 at 2020-07-21 15:30:21 UTC
