,request_id,slot,metric_filter_id,metric,n_reqs_1,n_reqs_2,n_reqs_3,program_id,subprogram_name,total_requests_tonight,exposure_time,n_usable,observable_tonight,Yrtf_val,scheduled,field_id
62,16,5818,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
63,16,5819,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
64,16,5819,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
65,16,5819,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
66,16,5820,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
67,16,5820,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
68,16,5820,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
69,16,5821,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
70,16,5821,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
71,16,5821,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
72,16,5822,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
73,16,5822,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
74,16,5822,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
75,16,5823,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
76,16,5823,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
77,16,5823,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
78,16,5824,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
79,16,5824,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
80,16,5824,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
81,16,5825,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
82,16,5825,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
83,16,5825,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
84,16,5826,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
85,16,5826,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
86,16,5826,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
87,16,5827,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
88,16,5827,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
89,16,5827,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
90,16,5828,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
91,16,5828,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
92,16,5828,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
93,16,5829,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
94,16,5829,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
95,16,5829,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
96,16,5830,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
97,16,5830,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
98,16,5830,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
99,16,5831,1,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
100,16,5831,2,-0.495,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
101,16,5831,3,-0.0,1,1,0,1,all_sky,2,30.0,3,True,False,False,295
102,17,5815,1,0.5241434229852469,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
103,17,5815,2,0.4010239248520805,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
104,17,5815,3,0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
105,17,5816,1,0.5091206782058607,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
106,17,5816,2,0.40249225450871573,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
107,17,5816,3,0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
108,17,5817,1,0.3894421318358605,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
109,17,5817,2,0.2489686317264604,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
110,17,5817,3,0.0,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
111,17,5818,1,0.29184982920733316,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
112,17,5818,2,0.2023721466416472,1,1,0,1,all_sky,2,30.0,4,True,False,False,296
