,obsHistID,requestID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,FWHMgeom,FWHMeff,airmass,filtSkyBright,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,slewDist,slewTime,fiveSigmaDepth,totalRequestsTonight,metricValue,subprogram
0,1,7524,1,9961,2.8355933260826633,0.5410520681182421,g,10382448,58239.16723251931,120,30.0,30.0,2.0011155160222427,2.0011155160222427,1.0009297695044928,19.5440731048584,2.8339872565389603,1.5276906500732341,3.021929463331526,1.4292575592946006,109.56044996822494,4.074163384930733,-0.25426087480293097,0.12043496942927612,1.965132544091708,98.4869634537746,-0.314155818712147,5.283560804094522,,,21.085571710627395,1,1.027303095347281,all_sky
1,2,7296,1,9655,2.842883915434094,0.5585053606381855,g,10382485,58239.167659012055,120,30.0,30.0,2.0004336664146924,2.0004336664146924,1.0003614147986364,19.5440731048584,2.8366743263300056,1.5439148840639376,2.8000571691775056,1.4303228321834958,109.32286972176189,4.074245049438044,-0.2542939044931759,0.12242353424025376,1.966693733521033,98.4869634537746,-0.3160362656756366,5.285431101219897,0.01852719737131971,6.848973084241152,21.085603389256274,1,1.3745139693599957,all_sky
2,3,7523,1,9962,2.8559932579787484,0.5410520681182421,g,10382519,58239.16805301277,120,30.0,30.0,2.0012942638877322,2.0012942638877322,1.0010787858784698,19.5440731048584,2.83915668373958,1.5243675220590467,2.7387511678314103,1.4132956129780745,110.40362381964393,4.07432041256809,-0.25432441089778224,0.124259482781242,1.9681378647148084,98.4869634537746,-0.31777143140195996,5.287162176486199,0.020725536302410173,4.041661914438009,21.085562282965896,1,1.4877814151381035,all_sky
3,4,7071,1,9352,2.838914338583358,0.5759586531581288,g,10382554,58239.16845249639,120,30.0,30.0,2.000038575688447,2.000038575688447,1.0000321466137172,19.5440731048584,2.841673585596174,1.5627781284224316,2.9677049184298365,1.4403335505045847,108.61823121913486,4.07439674625715,-0.25435533497583107,0.12611987744308228,1.969603946227024,98.4869634537746,-0.3195287529822226,5.288920556070915,0.03779154486576512,4.515385152772069,21.085621588987397,1,1.4674818657156616,all_sky
4,5,7521,1,9960,2.8151933941865774,0.5410520681182421,g,10382593,58239.1689047388,120,30.0,30.0,2.0013669592405954,2.0013669592405954,1.0011393922054537,19.5440731048584,2.8445228882288154,1.5230823579645583,3.606427428055834,1.4457848198587517,108.70766263620382,4.074483066199175,-0.25439033472697264,0.12822462234218057,1.9712659152174672,98.4869634537746,-0.32151572904411374,5.290915082777769,0.04028707935990122,9.07374358549714,21.085559545798368,1,1.2961737414445662,all_sky
5,6,7294,1,9654,2.8222832706740286,0.5585053606381855,g,10382626,58239.169289811136,120,30.0,30.0,2.000560044447576,2.000560044447576,1.000466747267428,19.5440731048584,2.846948993411093,1.540249124123304,3.739408215863407,1.446784533837484,108.47620960581926,4.074556485925299,-0.2544201290085881,0.13001562274818146,1.9726829451037808,98.4869634537746,-0.32320554211247376,5.292616665756022,0.018470484615206124,3.270250314846635,21.085600107910686,1,1.5223570057902152,all_sky
6,7,7519,1,9959,2.794793462290492,0.5410520681182421,g,10382660,58239.1696866537,120,30.0,30.0,2.0021858954995784,2.0021858954995784,1.0018222431328563,19.57691192626953,2.8494492555867024,1.5104725290497636,3.9375984432064084,1.4622112385166965,107.84855800970722,4.07463207342043,-0.2544508271216215,0.13186027061035355,1.9741451347328356,98.4869634537746,-0.3249450300879062,5.294373445289578,0.0292226117995318,4.28719786554575,21.097016555602508,1,1.500688150841375,all_sky
7,8,7518,1,9958,2.774393530394407,0.5410520681182421,g,10382695,58239.170087916034,120,30.0,30.0,2.003404298257138,2.003404298257138,1.0028385245276175,19.57691192626953,2.8519773639682557,1.4955390826274662,4.127731843490938,1.4786339445922356,106.9829536577607,4.0747084240129485,-0.2544818600028063,0.13372432525025713,1.975625525297192,98.4869634537746,-0.3267018423418999,5.29615309100934,0.017486074125320324,4.669065169990063,21.09696345569473,1,1.4840497355564766,all_sky
8,9,7293,1,9653,2.801682625913964,0.5585053606381855,g,10382727,58239.17045781483,120,30.0,30.0,2.001374115188856,2.001374115188856,1.0011453582196637,19.44050407409668,2.854307869895182,1.5229577214112826,4.167471095537577,1.4632333799564265,107.62251723484395,4.074778736786985,-0.25451046089365076,0.13544166299589255,1.9769919211861624,98.4869634537746,-0.32831950519353104,5.297796586627081,0.029085538590071885,1.959255563095212,21.049309604776255,1,1.5073066737626635,all_sky
9,10,7516,1,9957,2.753993598498322,0.5410520681182421,g,10382760,58239.17083906671,120,30.0,30.0,2.0052628580330856,2.0052628580330856,1.0043895608030569,19.46819305419922,2.8567099047376754,1.477270246483175,4.2641975989636896,1.4951931868498836,106.11044961990386,4.074851137292157,-0.2545399331480164,0.13721068272551062,1.9784019868796994,98.4869634537746,-0.32998496964067736,5.299493498745126,0.04424710959208463,2.9401631262153387,21.05882322495949,1,1.4817696772487403,all_sky
10,11,7292,1,9652,2.7810819811539,0.5585053606381855,g,10382793,58239.1712190607,120,30.0,30.0,2.002691033145894,2.002691033145894,1.0022435332573054,19.484304428100586,2.8591040143069906,1.5038732853600008,4.344436927286438,1.4796774342337031,106.76202737264552,4.074923227950745,-0.2545693015934362,0.13897282309318437,1.9798091585110502,98.4869634537746,-0.33164306394632126,5.3011878266896835,0.028948827879613896,2.831480361521244,21.064584802002244,1,1.4985558369544925,all_sky
11,12,7514,1,9956,2.7335936666022365,0.5410520681182421,g,10382825,58239.17159228884,120,30.0,30.0,2.00767248270084,2.00767248270084,1.0064019080744258,19.484304428100586,2.8614554964463235,1.457942971225953,4.357379301978862,1.5118181201014302,105.23160782199378,4.074993966092571,-0.2545981407008235,0.14070257018877053,1.9811929929125147,98.4869634537746,-0.3332698055101997,5.302854927355362,0.04408991798354233,2.2469116132706404,21.0643528608498,1,1.525232683695649,all_sky
12,13,7513,1,9955,2.7131937347061514,0.5410520681182421,g,10382858,58239.17196900188,120,30.0,30.0,2.010332440539949,2.010332440539949,1.0086251863041693,19.48220443725586,2.8638289347760617,1.439925059280164,4.419414735992934,1.5284320486215814,104.34701331048561,4.075065295504677,-0.25462724258073194,0.14244744019247757,1.982591483400374,98.4869634537746,-0.3349098891500322,5.304540559731909,0.017486074125319898,2.548006534576416,21.06349538793985,1,1.5093339886222599,all_sky
13,14,7291,1,9651,2.760481336393835,0.5585053606381855,g,10382890,58239.17234219949,120,30.0,30.0,2.004754879907177,2.004754879907177,1.0039655392164388,19.484304428100586,2.86618022455873,1.481886498041876,4.451363971004543,1.4962633418930367,105.89432225460361,4.075135890761919,-0.25465606640416005,0.1441750041289043,1.9839786508585397,98.4869634537746,-0.33653283021781677,5.306213410539299,0.043932830344677945,2.244273740798235,21.064484364770873,1,1.525634612650226,all_sky
14,15,7290,1,9650,2.7398808661666956,0.5585053606381855,g,10382922,58239.172718003705,120,30.0,30.0,2.006967593729064,2.006967593729064,1.0058130681897803,19.484304428100586,2.868547936920456,1.463231951918223,4.508890390235034,1.5127723223237612,105.02066714915058,4.0752069102398,-0.2546850849890655,0.1459136002335859,1.9853772532146434,98.4869634537746,-0.3381652506579558,5.3079009215084705,0.01747010280541685,2.4694838114082813,21.06438897646076,1,1.5148530834340612,all_sky
15,16,7289,1,9649,2.7192802214066307,0.5585053606381855,g,10382955,58239.1730908689,120,30.0,30.0,2.0096347269716412,2.0096347269716412,1.0080418250258243,19.48220443725586,2.8708971323595645,1.4443977522282216,4.551176363040149,1.5293466601951695,104.1406302017722,4.075277306067521,-0.2547138700848647,0.1476375691937557,1.986766658196526,98.4869634537746,-0.33978305604363723,5.309578197228526,0.017470250815526837,2.21555308252573,21.06352572086796,1,1.524973702366944,all_sky
16,17,7288,1,9648,2.6986795766465663,0.5585053606381855,g,10382987,58239.173461917235,120,30.0,30.0,2.0127596024095404,2.0127596024095404,1.010655598159277,19.47517204284668,2.8732348808598824,1.4254565012034184,4.584087741253131,1.5459837484046874,103.25445893831028,4.075347291438786,-0.25474250840095386,0.1493521142371417,1.98815102269203,98.4869634537746,-0.3413911427219498,5.31125023941776,0.017470250815526837,2.058576162904501,21.060924146287068,1,1.5269428112404952,all_sky
17,18,7287,1,9647,2.6780789318865015,0.5585053606381855,g,10383019,58239.173831756365,120,30.0,30.0,2.016346178680878,2.016346178680878,1.0136588927296617,19.460111618041992,2.875565010865165,1.406447840814632,4.610845236579291,1.5626811018035196,102.36238529004002,4.075416981861817,-0.2547710468824337,0.15106005094346808,1.9895326012202055,98.4869634537746,-0.34299215892025425,5.312919760706421,0.017470250815526837,1.9541003815829754,21.05548527678617,1,1.5204673010010046,all_sky
18,19,7286,1,9646,2.657478461659362,0.5585053606381855,g,10383050,58239.17420069009,120,30.0,30.0,2.0203989423147437,2.0203989423147437,1.0170568473273696,19.460111618041992,2.8778894365160443,1.3873957931976972,4.633355219566081,1.579436112815149,101.46464075376174,4.0754864352048745,-0.25479950898765785,0.15276278636558382,1.9909125223946118,98.4869634537746,-0.3445874278528833,5.314588117674489,0.01747010280541685,1.8758740536868572,21.055299040497317,1,1.5238065494878554,all_sky
19,20,7285,1,9645,2.6368778168992972,0.5585053606381855,g,10383082,58239.17456899175,120,30.0,30.0,2.0249232163486153,2.0249232163486153,1.0208555011493177,19.460111618041992,2.880209879926581,1.3683148372374678,4.6528163943656855,1.5962466660077954,100.56142602627736,4.075555703386264,-0.25482791580359704,0.15446158368904772,1.9922918062163122,98.4869634537746,-0.3461781352003337,5.316256538247142,0.017470250815527257,1.8212638329714537,21.055091167243457,1,1.5259833313136537,all_sky
20,21,7284,1,9644,2.6162771721392324,0.5585053606381855,g,10383114,58239.17493729342,120,30.0,30.0,2.0299255379520504,2.0299255379520504,1.025062122784725,19.460111618041992,2.8825303233371695,1.3492126947094607,4.6700201606295915,1.61311036142887,99.65295660380771,4.075624905524001,-0.2548563160640526,0.15615935620653487,1.9936728237080885,98.4869634537746,-0.3477670079239603,5.317927888282984,0.017470250815526837,1.8212638348340988,21.05485734512671,1,1.5254904615547862,all_sky
