# WINTER Observation Log for the night of 2020-02-11
# Created: 2020-02-10 16:29:51 UTC / 2020-02-10 08:29:51 Palomar Time
Time,	obsHistID,	requestID,	propID,	fieldID,	fieldRA,	fieldDec,	filter,	
1581370191,	102,	360,	1,	817,	2.6761715412139893,	1.0847221612930298,	r,	
1581370191,	103,	707,	3,	787,	2.7667958736419678,	0.959058403968811,	r,	
1581370191,	104,	715,	3,	817,	2.6761715412139893,	1.0847221612930298,	r,	
1581370191,	105,	380,	1,	842,	2.842393398284912,	1.210385799407959,	r,	
1581370191,	106,	689,	3,	715,	3.2050037384033203,	0.7077310085296631,	r,	
1581370191,	107,	472,	2,	716,	3.355395555496216,	0.7077310085296631,	r,	
1581370191,	108,	483,	2,	756,	3.4025168418884277,	0.8333947062492371,	r,	
1581370191,	109,	285,	1,	715,	3.2050037384033203,	0.7077310085296631,	r,	
1581370191,	110,	700,	3,	755,	3.2380247116088867,	0.8333947062492371,	r,	
1581370191,	111,	495,	2,	790,	3.340385675430298,	0.959058403968811,	r,	
1581370191,	112,	316,	1,	755,	3.2380247116088867,	0.8333947062492371,	r,	
1581370191,	113,	494,	2,	789,	3.148205280303955,	0.959058403968811,	r,	
1581370191,	114,	339,	1,	787,	2.7667958736419678,	0.959058403968811,	r,	
1581370191,	115,	706,	3,	786,	2.576122999191284,	0.959058403968811,	r,	
1581370191,	116,	337,	1,	785,	2.3854501247406006,	0.959058403968811,	r,	
1581370191,	117,	336,	1,	784,	2.194777011871338,	0.959058403968811,	r,	
1581370191,	118,	310,	1,	749,	2.2510733604431152,	0.8333947062492371,	r,	
1581370191,	119,	311,	1,	750,	2.415565252304077,	0.8333947062492371,	r,	
1581370191,	120,	280,	1,	710,	2.4530446529388428,	0.7077310085296631,	r,	
1581370191,	121,	279,	1,	709,	2.3026530742645264,	0.7077310085296631,	r,	
1581370191,	122,	245,	1,	664,	2.1903371810913086,	0.5820673108100891,	r,	
1581370191,	123,	212,	1,	617,	2.2454607486724854,	0.45640361309051514,	r,	
1581370191,	124,	184,	1,	573,	2.901047468185425,	0.3307398855686188,	r,	
1581370191,	125,	671,	3,	623,	3.0289440155029297,	0.45640361309051514,	r,	
1581370191,	126,	217,	1,	622,	2.8983635902404785,	0.45640361309051514,	r,	
1581370191,	127,	678,	3,	671,	3.149796962738037,	0.5820673108100891,	r,	
1581370191,	128,	251,	1,	670,	3.0127313137054443,	0.5820673108100891,	r,	
1581370191,	129,	676,	3,	669,	2.8756656646728516,	0.5820673108100891,	r,	
1581370191,	130,	686,	3,	712,	2.753828287124634,	0.7077310085296631,	r,	
1581370191,	131,	312,	1,	751,	2.580057144165039,	0.8333947062492371,	r,	
1581370191,	132,	359,	1,	816,	2.4434609413146973,	1.0847221612930298,	r,	
1581370191,	133,	379,	1,	841,	2.543194055557251,	1.211607575416565,	r,	
1581370191,	134,	698,	3,	753,	2.909040927886963,	0.8333947062492371,	r,	
1581370191,	135,	340,	1,	788,	2.9574689865112305,	0.959058403968811,	r,	
1581370191,	136,	709,	3,	789,	3.148205280303955,	0.959058403968811,	r,	
1581370191,	137,	710,	3,	790,	3.340385675430298,	0.959058403968811,	r,	
1581370191,	138,	701,	3,	756,	3.4025168418884277,	0.8333947062492371,	r,	
1581370191,	139,	472,	2,	716,	3.355395555496216,	0.7077310085296631,	r,	
1581370191,	140,	317,	1,	756,	3.4025168418884277,	0.8333947062492371,	r,	
1581370191,	141,	690,	3,	716,	3.355395555496216,	0.7077310085296631,	r,	
1581370191,	142,	484,	2,	757,	3.573117256164551,	0.8333947062492371,	r,	
1581370191,	143,	473,	2,	717,	3.5057871341705322,	0.7077310085296631,	r,	
1581370191,	144,	286,	1,	716,	3.355395555496216,	0.7077310085296631,	r,	
1581370191,	145,	483,	2,	756,	3.4025168418884277,	0.8333947062492371,	r,	
1581370191,	146,	495,	2,	790,	3.340385675430298,	0.959058403968811,	r,	
1581370191,	147,	496,	2,	791,	3.5325660705566406,	0.959058403968811,	r,	
1581370191,	148,	506,	2,	821,	3.6070139408111572,	1.0847221612930298,	r,	
1581370191,	149,	342,	1,	790,	3.340385675430298,	0.959058403968811,	r,	
1581370191,	150,	494,	2,	789,	3.148205280303955,	0.959058403968811,	r,	
1581370191,	151,	504,	2,	819,	3.1415927410125732,	1.0847221612930298,	r,	
1581370191,	152,	341,	1,	789,	3.148205280303955,	0.959058403968811,	r,	
1581370191,	153,	708,	3,	788,	2.9574689865112305,	0.959058403968811,	r,	
1581370191,	154,	314,	1,	753,	2.909040927886963,	0.8333947062492371,	r,	
1581370191,	155,	313,	1,	752,	2.744549036026001,	0.8333947062492371,	r,	
1581370191,	156,	282,	1,	712,	2.753828287124634,	0.7077310085296631,	r,	
1581370191,	157,	250,	1,	669,	2.8756656646728516,	0.5820673108100891,	r,	
1581370191,	158,	677,	3,	670,	3.0127313137054443,	0.5820673108100891,	r,	
1581370191,	159,	252,	1,	671,	3.149796962738037,	0.5820673108100891,	r,	
1581370191,	160,	218,	1,	623,	3.0289440155029297,	0.45640361309051514,	r,	
1581370191,	161,	219,	1,	624,	3.15952467918396,	0.45640361309051514,	r,	
1581370191,	162,	185,	1,	574,	3.0241482257843018,	0.3307398855686188,	r,	
1581370191,	163,	672,	3,	624,	3.15952467918396,	0.45640361309051514,	r,	
1581370191,	164,	151,	1,	523,	3.005887508392334,	0.2050761878490448,	r,	
1581370191,	165,	186,	1,	575,	3.147249221801758,	0.3307398855686188,	r,	
1581370191,	166,	152,	1,	524,	3.132862091064453,	0.2050761878490448,	r,	
1581370191,	167,	670,	3,	525,	3.2598366737365723,	0.2019345909357071,	r,	
