# pos	HFD_med	HFD_mean	HFD_stderr_mean	HFD_stderr_med	FWHM_mean	FWHM_med	FWHM_std
9.700000000000000000e+03	2.434178448677063233e+00	2.354121807098388697e+00	1.036033205403126545e-01	1.298475063060031964e-01	4.205255628585815586e+00	4.174222766876220625e+00	1.392782822608947813e+00
9.800000000000000000e+03	3.263323681831360012e+00	2.784423727989196795e+00	2.679545042103291252e-01	3.358311682841711998e-01	4.911785305023193438e+00	5.503275764465332287e+00	1.119810164451599199e+00
9.900000000000000000e+03	2.516987779617309684e+00	2.300737898826599181e+00	1.168396464850771921e-01	1.464367807386925124e-01	2.955305341720581236e+00	3.181835366249084807e+00	4.823707022666931521e-01
1.000000000000000000e+04	1.450351316452026529e+00	1.522210996627807678e+00	4.360363177043752314e-02	5.464904813618863544e-02	1.695705087661743216e+00	1.697166315078735499e+00	6.802126395702362549e-02
1.002300000000000000e+04	2.135187009811401637e+00	2.123253874778747718e+00	5.375622956713117101e-02	6.737344248526298818e-02	1.034373023986816520e+01	3.337196771621704361e+00	1.463977084350585933e+01
1.012300000000000000e+04	4.397700790405274063e+00	1.096412971496582145e+01	2.400156470298767442e+00	3.008150035994715310e+00	2.033329592895507787e+01	7.880230583190918736e+00	1.737536277770996307e+01
1.022300000000000000e+04	4.430940158843994503e+00	1.034889964294433717e+01	2.529733549030003470e+00	3.170550820640616774e+00	1.875864739990234398e+01	1.029890948867797995e+01	1.690638699340820494e+01
1.032300000000000000e+04	3.413550570487976277e+00	9.283487091064452912e+00	2.107791109513855510e+00	2.641724396061639002e+00	1.621033255767822467e+01	5.515608648300171168e+00	1.670567976379394537e+01
