# pos	HFD_med	HFD_mean	HFD_stderr_mean	HFD_stderr_med	FWHM_mean	FWHM_med	FWHM_std
1.018526359409669931e+04	3.173054669380188209e+00	3.080458270072937044e+00	1.234743620798367386e-01	1.547521635906722870e-01	5.804361051559448370e+00	5.939978776931763349e+00	1.318724968433380162e+00
9.675052521139719829e+03	3.336663254737854079e+00	3.104873389244079629e+00	2.185939509297026018e-01	2.739668890318469607e-01	5.918878084182739308e+00	6.107843498229980739e+00	2.658847719192504844e+00
9.919938528125980156e+03	1.575841664791107322e+00	1.602536396503448479e+00	3.679361001948086574e-02	4.611395160028860379e-02	1.813898409366607734e+00	1.752485416412353558e+00	2.396586284637451381e-01
1.008319586611679915e+04	1.863329604148864949e+00	1.860623911380767881e+00	3.196231159652382359e-02	4.005881698520645517e-02	2.460639641761779739e+00	2.450991230010986399e+00	2.720198938846588033e-01
9.470640670138240239e+03	3.101594293594360341e+00	3.275620568275452005e+00	2.078235975520713041e-01	2.604682528797779284e-01	5.351000135421752901e+00	5.013913013458251910e+00	1.995160937309265137e+00
9.756667016030429295e+03	2.746179611206054805e+00	2.714050384521484727e+00	1.902729361863869928e-01	2.384717608709288061e-01	4.442019800186157497e+00	4.876455865859985472e+00	1.562236873149871919e+00
1.026687808898739968e+04	2.873734587669372509e+00	3.346764078140259002e+00	2.553192318015298223e-01	3.199952027453905612e-01	6.770606569290161580e+00	5.548400493621826080e+00	3.063952355384826909e+00
9.817884974250819141e+03	2.373085765838623296e+00	2.438053723335266376e+00	9.087572345389509365e-02	1.138958289435404864e-01	3.795248903274536456e+00	3.963338497161865259e+00	8.132716059684753640e-01
1.000157428417379924e+04	1.310105815410613994e+00	1.291338509082794239e+00	1.757651577348779207e-02	2.202889570366113256e-02	1.423641808032989564e+00	1.419396893501281731e+00	6.632494941353797580e-02
9.981163573398720473e+03	1.348320934295654361e+00	1.361026457786560062e+00	2.069161388465785845e-02	2.593309220551538730e-02	1.496311762809753532e+00	1.497246806144714393e+00	5.164571829140186809e-02
9.573020228421610227e+03	3.298460912704467951e+00	3.275123270988464341e+00	1.499108374949737754e-01	1.878853719692571977e-01	6.086966344833374620e+00	5.483529640197754240e+00	2.117374078750610344e+00
9.838316946182909305e+03	2.370538394927978576e+00	2.340933429718017766e+00	8.530889844264138988e-02	1.069188484569747050e-01	3.358044593811035483e+00	3.348709714889526623e+00	7.034246237277984592e-01
1.038933526658519986e+04	3.038978832244873196e+00	3.023298857688903940e+00	5.331750689583417135e-02	6.682358515896563711e-02	5.617811906814575096e+00	5.503377090454101506e+00	8.780820193290710396e-01
9.797495524632849992e+03	2.588801685333252056e+00	2.544198473930359139e+00	1.196272849776827962e-01	1.499305674712000103e-01	4.090566608428955142e+00	4.191908151626587475e+00	8.218838150501251993e-01
1.002198499494879979e+04	1.395540733814239598e+00	1.396358563423156784e+00	1.932056716493515611e-02	2.421473996876688170e-02	1.617906504631042575e+00	1.610747690200805771e+00	1.352765139937400773e-01
1.036891038170550019e+04	3.005560365676879897e+00	3.316049637794495020e+00	1.881809175632951081e-01	2.358498043550804335e-01	6.667716249465942546e+00	5.785674850463867536e+00	3.231605314254760941e+00
9.634216925484950480e+03	3.177611894607544230e+00	3.445202276229858640e+00	2.273521553924519323e-01	2.849436705025104044e-01	6.406788940429687607e+00	5.066018125534057504e+00	2.751392566680908480e+00
1.012402437471919984e+04	2.406534452438354510e+00	2.448026111602783494e+00	4.980505611218991047e-02	6.242138093519937481e-02	3.845535924911499315e+00	3.771603506088256896e+00	5.722865180969238796e-01
9.654634723312330607e+03	3.112153750419616838e+00	3.315435904502868958e+00	1.673535805702209556e-01	2.097466084590264845e-01	6.146196273803711030e+00	6.507383871078491921e+00	1.977132021903991843e+00
1.004239570572380035e+04	1.480447134971618839e+00	1.443845899105071995e+00	2.684157427703358009e-02	3.364092450921025990e-02	1.787546430587768631e+00	1.773354903697967666e+00	2.128355449438095182e-01
1.030769242348509943e+04	2.958514664649963599e+00	2.808703523635864396e+00	8.148043461399745446e-02	1.021205806163342361e-01	5.732963560104370693e+00	5.728279899597167990e+00	1.436667752742767368e+00
1.006279224239409996e+04	1.630019182205200368e+00	1.599982803821563770e+00	2.755439142728519433e-02	3.453430832094155772e-02	2.106183112144470293e+00	2.096251609802246119e+00	2.668625454902648908e-01
1.045054613775329926e+04	2.802194884300232225e+00	3.271479757308960234e+00	2.628064924425042026e-01	3.293790923564896556e-01	4.779437564849853715e+00	4.532241704940796367e+00	1.510901594161987438e+00
1.047094976147600028e+04	2.620924468040466415e+00	2.680835458755493228e+00	1.275838632583618237e-01	1.599026595150324914e-01	4.491014915466308821e+00	4.640328536987304631e+00	1.563007039546966626e+00
9.613820388814619946e+03	2.533990769386291753e+00	2.960514519691467505e+00	1.864438143938781101e-01	2.336726683948745498e-01	5.560451620101929393e+00	3.927615753173828494e+00	2.781588155746459901e+00
9.960759949676039469e+03	1.345432476997375559e+00	1.351351047992706444e+00	2.250381758312719818e-02	2.820435272050244788e-02	1.486861781120300430e+00	1.482156011104583726e+00	9.539278689026832458e-02
1.032810313426009998e+04	2.876100638389587516e+00	3.024522102355957198e+00	1.439632976342905268e-01	1.804312361796154285e-01	5.843970180511474766e+00	5.597914237976074681e+00	1.811167162895202631e+00
1.014441382433719991e+04	2.728947526931762901e+00	2.714302366256713839e+00	7.389436020622791590e-02	9.261284631434936465e-02	4.314072629928588754e+00	4.313927307128906818e+00	7.356615648269653196e-01
1.016483870921699963e+04	2.868152992248535149e+00	2.868300981521606730e+00	8.832471324593020590e-02	1.106986117854619339e-01	4.714627151489257706e+00	4.779961971282959077e+00	9.311660048961639680e-01
1.020565304371469938e+04	3.576394544601440462e+00	3.359206954002380563e+00	1.643138782609518123e-01	2.059369065815889466e-01	5.883578420639038242e+00	6.380733940124511783e+00	1.462793525695800900e+00
1.010362075099660069e+04	2.115649537086486731e+00	2.118709093093872120e+00	3.397830676693118501e-02	4.258549223303777914e-02	3.081493083953857681e+00	3.044858850479126300e+00	5.153979749679565847e-01
1.040972471620319993e+04	3.184151865005493409e+00	3.155776810646057307e+00	1.559987832428791354e-01	1.955154804423167858e-01	6.347197259902954691e+00	5.710757614135742344e+00	2.993311920166015661e+00
9.715859768585069105e+03	3.780622852325439709e+00	3.576323438644409158e+00	1.722713828594723828e-01	2.159101595926678496e-01	6.274286544799805299e+00	7.000512126922608047e+00	1.371789233207702630e+00
9.532177545714490407e+03	2.683371274948120444e+00	2.913203948974609325e+00	1.547605646274373414e-01	1.939636035464963326e-01	4.399853523254394716e+00	4.001889925003052184e+00	1.457034165382385282e+00
9.593409678039590290e+03	2.889109028816223113e+00	2.984387900352478251e+00	2.103912269751206376e-01	2.636862991350729102e-01	5.441794443130493875e+00	4.519433300018310895e+00	2.961228467941284137e+00
9.879117106575920843e+03	1.936726728439331247e+00	1.983124032020568972e+00	6.232576357926061794e-02	7.811376061287084172e-02	2.547645779609680527e+00	2.548869468688964801e+00	4.471032030582428041e-01
9.552581169437169592e+03	2.849559673309326246e+00	2.998978398323059125e+00	2.019868924140930388e-01	2.531530278150077584e-01	5.607985952377319450e+00	4.871849088668823491e+00	2.718212082862854206e+00
9.940342151848659341e+03	1.401819167613983286e+00	1.420429374217987206e+00	3.034329238173002000e-02	3.802967731471994933e-02	1.585797943115234476e+00	1.580672870159149257e+00	1.559419049620628384e-01
1.022606375448969993e+04	3.813460027694702159e+00	3.514739902496338164e+00	2.106927832363617581e-01	2.640642438604823838e-01	6.149524032592773359e+00	6.839310922622680700e+00	1.686343321800231942e+00
1.034852093208750011e+04	2.795587141036987244e+00	2.851295325279235904e+00	1.455560943187116374e-01	1.824275107820696462e-01	4.837000503540039631e+00	4.697722154617309798e+00	1.436132569313049334e+00
9.858713482853239839e+03	2.155622861862182660e+00	2.235814826965332180e+00	7.341417477730356744e-02	9.201102312774556147e-02	3.016225814819335938e+00	2.978198793411255263e+00	5.148944559097290430e-01
9.777091900910170807e+03	2.839917705535888626e+00	2.672156754493713482e+00	1.443146227436106765e-01	1.808715569059202721e-01	4.349098091125488175e+00	4.687234470367432237e+00	1.310417903900146452e+00
9.491349037112080623e+03	2.948313404083251932e+00	3.196598296165466646e+00	2.893298287363140764e-01	3.626211647022948292e-01	4.521868234634399464e+00	4.144848896026611662e+00	1.760011093139648430e+00
9.736270479360109675e+03	3.016200927734375092e+00	2.951695158958435261e+00	1.915223833486872085e-01	2.400377106632683999e-01	5.024286039352417355e+00	5.197871679306030224e+00	1.864610844612121676e+00
1.043014251403060007e+04	3.110898285865783652e+00	3.297715188980102852e+00	1.901847923278808528e-01	2.383612889269455526e-01	6.058822607040405650e+00	5.427149726867676272e+00	2.736434762001037857e+00
9.511802270201220381e+03	3.301915773391723707e+00	3.334456525802612425e+00	1.603330719184787034e-01	2.009477057146521473e-01	5.892319120407104371e+00	5.255072422027588175e+00	1.834429032325744835e+00
9.899527817350950500e+03	1.848468348026275798e+00	1.877379474639892631e+00	5.600424611568451116e-02	7.019091340648407618e-02	2.306987001419067429e+00	2.262786427497863961e+00	3.539801197052002135e-01
1.028728171271010069e+04	2.683645921707153548e+00	2.744467735290527344e+00	1.369061064346525913e-01	1.715863586793706652e-01	5.822138874053955249e+00	5.450546253204345604e+00	2.519681806564331161e+00
9.695441970757690797e+03	3.502969422340393102e+00	3.311037778854370117e+00	2.342643083572387985e-01	2.936067695325650373e-01	5.786069932937622617e+00	6.663581882476806939e+00	2.369847111701965492e+00
1.024647446526470048e+04	3.574896430969238370e+00	3.679352415084839123e+00	2.166003291937999009e-01	2.714682547257806777e-01	7.179637365341187127e+00	7.949885978698731037e+00	1.936452748298645110e+00
