# pos	HFD_med	HFD_mean	HFD_stderr_mean	HFD_stderr_med	FWHM_mean	FWHM_med	FWHM_std
1.018206024643340061e+04	1.685549601554870769e+00	1.713718226432800362e+00	3.359252676984183367e-02	4.210198870879216376e-02	1.970911583900451847e+00	1.981882566452026539e+00	5.851219627261162320e-02
9.467423148370240597e+03	4.845922967910766488e+00	4.985515516281128434e+00	1.947107964363048449e-01	2.440337938615813607e-01	1.012781700134277330e+01	8.058094135284424198e+00	5.485951242446899911e+00
9.651424288596679617e+03	4.152617221832275440e+00	5.343045600891113800e+00	6.957822569873565177e-01	8.720337391755403900e-01	1.048762558746337881e+01	7.918084728240967429e+00	5.246633922576904752e+00
9.712677682078829093e+03	4.015606708526611612e+00	4.850163549423218257e+00	7.442833385404465929e-01	9.328208303611200680e-01	8.671306575775146186e+00	7.032943553924560831e+00	4.412767253875732543e+00
9.977974399840129990e+03	3.413542571067810449e+00	3.344326254844665502e+00	1.572854464650154105e-01	1.971280736485840623e-01	4.749181091308593672e+00	4.927523719787598289e+00	7.161339802742004990e-01
9.896324469687649980e+03	5.416539829254150895e+00	5.260771120071411566e+00	2.150948556423193103e-01	2.695814234403554610e-01	7.805547996520996179e+00	7.935163490295410682e+00	6.114631228446960609e-01
9.916756441619740144e+03	4.983846303939819755e+00	4.987044738769531804e+00	1.767529036535335774e-01	2.215269129605381415e-01	7.381624057769776037e+00	7.217263082504272731e+00	6.358535215854644873e-01
9.814717061849280071e+03	5.906592752456665707e+00	4.756631662368774549e+00	5.882046574993182730e-01	7.372052128787174308e-01	8.147612979888917195e+00	9.272208797454833729e+00	3.177983423233032401e+00
1.014124591193570086e+04	1.846366722583770770e+00	1.897970648765564095e+00	4.102356855566107602e-02	5.141541843394163702e-02	2.244609300613403580e+00	2.265724214553832994e+00	8.410000821948052097e-02
9.671842086424059744e+03	4.918991004943848111e+00	4.908607757568359986e+00	6.800344140557981198e-01	8.522967449971942111e-01	9.854359489440918551e+00	9.486759468078613367e+00	5.191794342041015753e+00
1.016162118744889995e+04	1.710108265876770117e+00	1.747380119800567622e+00	3.326431891303673755e-02	4.169064116188031521e-02	2.002852157592773352e+00	2.000804306030273594e+00	7.348922872543335594e-02
9.957570776117450805e+03	3.985833311080932972e+00	3.805275732040405590e+00	1.891608738888422292e-01	2.370779974718404126e-01	5.560305408477783651e+00	5.553992532730102738e+00	6.845252158641815798e-01
1.022287458093110035e+04	1.841948376178741631e+00	1.906377150535583542e+00	4.122968256896060446e-02	5.167374404070877031e-02	2.296582422256469691e+00	2.276951845169067568e+00	1.421792080998420804e-01
