temperature, focus
18.8,11806.16
18.9,11807.98
19.0,11809.8
19.1,11811.62
19.2,11813.44
19.3,11815.26
19.4,11817.08
19.5,11818.9
19.6,11820.72
19.7,11822.54
19.8,11824.36
19.9,11826.18
20.0,11828.0
20.1,11829.82
20.2,11831.64
20.3,11833.46
20.4,11835.28
20.5,11837.1
20.6,11838.92
20.7,11840.74
20.8,11842.56
20.9,11844.38
21.0,11846.2
21.1,11848.02
21.2,11849.84
21.3,11851.66
21.4,11853.48
21.5,11855.3
21.6,11857.12
21.7,11858.94
21.8,11860.76
21.9,11862.58
22.0,11864.4
22.1,11866.22
22.2,11868.04
22.3,11869.86
22.4,11871.68
22.5,11873.5
22.6,11875.32
22.7,11877.14
22.8,11878.96
22.9,11880.78
23.0,11882.6
23.1,11884.42
23.2,11886.24
23.3,11888.06
23.4,11889.88
23.5,11891.7
23.6,11893.52
23.7,11895.34
23.8,11897.16
23.9,11898.98
24.0,11900.8
24.1,11902.62
24.2,11904.44
24.3,11906.26
24.4,11908.08
24.5,11909.9
24.6,11911.72
24.7,11913.54
24.8,11915.36
24.9,11917.18
25.0,11919.0
25.1,11920.82
25.2,11922.64
25.3,11924.46
25.4,11926.28
25.5,11928.1
25.6,11929.92
25.7,11931.74
25.8,11933.56
25.9,11935.38
26.0,11937.2
26.1,11939.02
26.2,11940.84
26.3,11942.66
26.4,11944.48
26.5,11946.3
26.6,11948.12
26.7,11949.94
26.8,11951.76
26.9,11953.58
27.0,11955.4
27.1,11957.22
27.2,11959.04
27.3,11960.86
27.4,11962.68
27.5,11964.5
27.6,11966.32
27.7,11968.14
27.8,11969.96
27.9,11971.78
28.0,11973.6
28.1,11975.42
28.2,11977.24
28.3,11979.06
28.4,11980.88
28.5,11982.7
28.6,11984.52
28.7,11986.34
28.8,11988.16
28.9,11989.98
29.0,11991.8
29.1,11993.62
29.2,11995.44
29.3,11997.26
29.4,11999.08
29.5,12000.9
29.6,12002.72
29.7,12004.54
29.8,12006.36
29.9,12008.18
30.0,12010.0
30.1,12011.82
30.2,12013.64
30.3,12015.46
30.4,12017.28
30.5,12019.1
30.6,12020.92
30.7,12022.74
30.8,12024.56
30.9,12026.38
31.0,12028.2
31.1,12030.02
31.2,12031.84
31.3,12033.66
31.4,12035.48
31.5,12037.3
31.6,12039.12
31.7,12040.94
31.8,12042.76
31.9,12044.58
32.0,12046.4
32.1,12048.22
32.2,12050.04
32.3,12051.86
32.4,12053.68
32.5,12055.5
32.6,12057.32
32.7,12059.14
32.8,12060.96
32.9,12062.78
33.0,12064.6
33.1,12066.42
33.2,12068.24
33.3,12070.06
33.4,12071.88
33.5,12073.7
33.6,12075.52
33.7,12077.34
33.8,12079.16
33.9,12080.98
34.0,12082.8
34.1,12084.62
34.2,12086.44
34.3,12088.26
34.4,12090.08
34.5,12091.9
34.6,12093.72
34.7,12095.54
34.8,12097.36
34.9,12099.18
35.0,12101.0
35.1,12102.82
35.2,12104.64
